№,Рубрика,Тема поста,Текст поста (EN),Ссылка,Описание картинки,Статус,Дата публикации
1,🎉 Seasonal,Summer prep,"☀️ Summer is almost here!

If you're planning a trip abroad this season — get your eSIM sorted before you go.

✅ 150+ countries covered
✅ Instant QR delivery
✅ No roaming surprises

Where are you headed this summer? 👇
https://t.me/Esimsdata_bot | https://esimsdata.com/",https://t.me/Esimsdata_bot | https://esimsdata.com/,"May seasonal travel, warm tones",📋 Draft,21.05.2026
2,📱 App feature,Know your data balance before it hits zero 📡,"One of the most useful features in our Mini App:

'My eSIMs' shows your live data balance — so you can top up before running out, not after.

✅ Real-time balance tracking
✅ Instant top-up option
✅ All your eSIMs in one view

Open Mini App 👇",https://t.me/Esimsdata_bot,"Telegram mini app UI, feature highlight, clean design",📋 Draft,22.05.2026
3,📶 Plan spotlight,Featured: Thailand 🇹🇭 — all plans this week,"This week we spotlight Thailand 🇹🇭

📶 Plans: 1GB/7d · 3GB/30d · 5GB/30d · 10GB/30d · 20GB/30d
🔗 Network: AIS

Available in our Mini App 👇",https://t.me/Esimsdata_bot | https://esimsdata.com/," travel photo, plan badge, operator logo",📋 Draft,25.05.2026
4,📰 News,🔒 Privacy reminder: Our eSIM plans don't require ID or local operator registrati,"🔒 Privacy reminder: Our eSIM plans don't require ID or local operator registration.

For privacy-conscious travelers — no passport scan, no contract.
✅ Works in 150+ countries

Get yours 👇",https://t.me/Esimsdata_bot | https://esimsdata.com/,"Network tower,  map, tech aesthetic",📋 Draft,26.05.2026
5,📰 News,🎁 First time buying an eSIM? Use promo code FIRST5 for 5% off your first plan.,"🎁 First time buying an eSIM? Use promo code FIRST5 for 5% off your first plan.

Works on any plan, any country.
Apply at checkout in our Mini App.

Get your first eSIM 👇",https://t.me/Esimsdata_bot | https://esimsdata.com/,"Network tower,  map, tech aesthetic",📋 Draft,28.05.2026
6,📰 News,📱 Our Mini App is available in English and Russian.,"📱 Our Mini App is available in English and Russian.

Manage your eSIMs, track data balance, top up — all inside Telegram.
No separate app needed.

Open Mini App 👇",https://t.me/Esimsdata_bot | https://esimsdata.com/,"Network tower,  map, tech aesthetic",📋 Draft,29.05.2026
7,📶 Plan spotlight,Featured: Vietnam 🇻🇳 — all plans this week,"This week we spotlight Vietnam 🇻🇳

📶 Plans: 1GB/7d · 3GB/30d · 5GB/30d · 10GB/30d · 20GB/30d
🔗 Network: MobiFone

Available in our Mini App 👇",https://t.me/Esimsdata_bot | https://esimsdata.com/," travel photo, plan badge, operator logo",📋 Draft,01.06.2026
8,📰 News,📊 Usage tip: use our Traffic Calculator to find the right plan size.,"📊 Usage tip: use our Traffic Calculator to find the right plan size.

Tell us your travel style (tourist / nomad / blogger) and we'll recommend the perfect plan.

Open Mini App 👇",https://t.me/Esimsdata_bot | https://esimsdata.com/,"Network tower,  map, tech aesthetic",📋 Draft,02.06.2026
9,📰 News,"👥 Refer a friend, both save 6%.","👥 Refer a friend, both save 6%.

Our referral program:
✅ Friend gets 6% off
✅ You earn 6% promo credit
✅ No limits on referrals

Find your link in the Mini App 👇",https://t.me/Esimsdata_bot | https://esimsdata.com/,"Network tower,  map, tech aesthetic",📋 Draft,04.06.2026
10,📰 News,📣 Update: Our Vietnam 🇻🇳 and Thailand 🇹🇭 eSIM plans now include real local phone,"📣 Update: Our Vietnam 🇻🇳 and Thailand 🇹🇭 eSIM plans now include real local phone numbers (+84 & +66).

Calls + data in one eSIM.
✅ Register on Zalo, Line, Grab
✅ Receive OTPs on local services

Get yours 👇",https://t.me/Esimsdata_bot | https://esimsdata.com/,"Network tower,  map, tech aesthetic",📋 Draft,05.06.2026
